,index,0
0,년도,노년부양비
1,2000,10.1
2,2001,10.5
3,2002,11.0
4,2003,11.5
5,2004,12.0
6,2005,12.5
7,2006,13.0
8,2007,13.5
9,2008,14.0
10,2009,14.4
11,2010,14.8
12,2011,15.0
13,2012,15.6
14,2013,16.3
15,2014,16.8
16,2015,17.5
17,2016,18.0
18,2017,18.8
19,2018,19.6
20,2019,20.4
21,2020,21.7
22,2021,23.0
23,2022,24.3
24,2023,25.8
25,2024,27.4
26,2025,29.3
27,2026,31.4
28,2027,33.0
29,2028,35.0
30,2029,36.5
31,2030,38.2
32,2031,40.0
33,2032,41.8
34,2033,43.7
35,2034,46.2
36,2035,48.4
37,2036,51.0
38,2037,53.4
39,2038,55.8
40,2039,58.1
41,2040,60.1
42,2041,61.9
43,2042,63.5
44,2043,65.2
45,2044,66.8
46,2045,69.0
47,2046,71.1
48,2047,73.3
49,2048,75.2
50,2049,76.6
51,2050,77.6
52,2051,78.7
53,2052,79.6
54,2053,80.5
55,2054,81.5
56,2055,82.6
57,2056,83.9
58,2057,85.7
59,2058,87.6
60,2059,89.5
61,2060,91.4
