"졸업지역별(1)","산업대분류별(이동전)(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"졸업지역별(1)","산업대분류별(이동전)(1)",전체,A.농업 임업 및 어업,B.광업,C.제조업,D.전기 가스 증기 및 공기 조절 공급업,E.수도 하수 및 폐기물 처리 원료 재생업,F.건설업,G.도매 및 소매업,H.운수 및 창고업,I.숙박 및 음식점업,J.정보통신업,K.금융 및 보험업,L.부동산업,M.전문 과학 및 기술 서비스업,N.사업시설 관리 사업 지원 및 임대 서비스업,O.공공 행정 국방 및 사회보장 행정,P.교육 서비스업,Q.보건업 및 사회복지 서비스업,R.예술 스포츠 및 여가관련 서비스업,S.협회 및 단체 수리 및 기타 개인 서비스업,U.국제 및 외국기관
"수도권","전체",20176,18,-,2622,73,38,671,2791,406,1179,1942,669,258,2138,1361,819,1664,2775,293,456,*
"수도권","A.농업, 임업 및 어업",11,*,-,*,-,-,-,-,*,*,-,*,-,*,*,*,*,-,-,-,-
"수도권","B.광업",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"수도권","C.제조업",2478,*,-,1065,8,7,72,379,35,97,164,55,23,225,130,39,70,58,20,30,-
"수도권","D.전기, 가스, 증기 및 공기 조절 공급업",52,-,-,*,9,-,*,*,6,-,*,8,*,6,4,*,*,*,-,-,-
"수도권","E.수도, 하수 및 폐기물 처리, 원료 재생업",34,-,-,7,*,*,*,*,*,-,*,*,*,8,*,-,*,*,-,-,-
"수도권","F.건설업",635,*,-,75,5,-,240,60,15,15,29,12,22,65,41,12,18,7,8,10,-
"수도권","G.도매 및 소매업",2395,*,-,362,*,4,57,835,65,141,199,50,21,184,183,41,84,85,37,42,*
"수도권","H.운수 및 창고업",306,*,-,51,8,-,11,47,51,12,22,15,4,22,25,5,17,7,*,5,*
"수도권","I.숙박 및 음식점업",1458,*,-,140,*,*,34,219,34,460,75,31,18,94,124,32,75,78,15,23,-
"수도권","J.정보통신업",1724,*,-,156,4,*,21,204,21,53,748,66,11,170,86,24,75,34,17,31,-
"수도권","K.금융 및 보험업",458,-,-,20,5,-,4,37,9,11,38,207,7,26,33,11,18,16,4,12,-
"수도권","L.부동산업",242,-,-,12,4,*,23,21,13,19,14,19,39,28,19,*,10,7,7,4,-
"수도권","M.전문, 과학 및 기술 서비스업",2401,*,-,301,12,11,77,259,25,73,251,69,28,807,108,61,162,90,25,38,*
"수도권","N.사업시설 관리, 사업 지원 및 임대 서비스업",1813,-,-,204,*,4,54,324,53,108,191,54,31,154,391,30,56,97,23,36,-
"수도권","O.공공 행정, 국방 및 사회보장 행정",578,*,-,18,*,*,6,19,11,14,20,6,6,27,20,300,35,55,24,11,-
"수도권","P.교육 서비스업",1972,*,-,92,5,-,22,154,25,67,108,24,16,152,88,85,749,314,37,32,-
"수도권","Q.보건업 및 사회복지 서비스업",2813,*,-,61,*,*,21,144,21,61,29,36,14,101,46,139,213,1867,16,40,-
"수도권","R.예술, 스포츠 및 여가관련 서비스업",328,-,-,27,*,*,14,38,12,29,27,4,5,16,33,18,31,13,41,17,-
"수도권","S.협회 및 단체, 수리 및 기타 개인 서비스업",474,*,-,27,-,-,9,45,8,18,24,10,9,51,26,17,44,44,17,124,-
"수도권","U.국제 및 외국기관",4,-,-,-,-,-,-,*,-,-,-,-,-,-,*,-,-,-,-,*,-
"비수도권","전체",30507,74,7,4226,122,87,1457,3197,593,1973,1476,738,342,2482,1724,1324,2384,7168,404,723,6
"비수도권","A.농업, 임업 및 어업",87,24,-,10,-,-,5,8,*,5,*,*,*,*,*,15,6,*,-,*,-
"비수도권","B.광업",*,-,-,-,-,-,*,-,-,-,-,-,-,-,*,-,-,-,-,-,-
"비수도권","C.제조업",3958,5,*,1920,21,18,195,486,94,181,160,64,30,288,213,56,76,94,13,41,*
"비수도권","D.전기, 가스, 증기 및 공기 조절 공급업",90,-,-,14,12,*,5,6,7,*,*,4,4,12,*,8,-,*,*,4,-
"비수도권","E.수도, 하수 및 폐기물 처리, 원료 재생업",64,-,-,16,-,5,12,7,-,*,*,*,*,8,*,4,*,-,-,*,-
"비수도권","F.건설업",1461,*,*,193,14,13,602,104,32,47,32,17,46,126,84,48,24,44,13,18,-
"비수도권","G.도매 및 소매업",2813,12,*,391,*,7,101,986,64,215,132,57,20,185,174,67,93,202,35,68,-
"비수도권","H.운수 및 창고업",446,-,-,75,11,*,16,60,96,21,10,17,7,43,31,14,16,17,4,5,-
"비수도권","I.숙박 및 음식점업",2214,*,-,242,6,*,67,265,43,777,68,47,45,113,168,47,91,150,44,34,*
"비수도권","J.정보통신업",1350,-,-,125,6,*,28,151,20,74,503,33,13,150,74,38,58,35,18,21,-
"비수도권","K.금융 및 보험업",488,-,-,43,6,*,11,34,15,16,22,171,*,27,33,13,30,46,6,11,-
"비수도권","L.부동산업",260,*,-,26,*,*,38,14,7,34,12,9,34,19,24,9,9,9,4,5,-
"비수도권","M.전문, 과학 및 기술 서비스업",2595,9,-,379,15,15,143,206,60,75,202,51,24,869,107,95,150,105,27,63,-
"비수도권","N.사업시설 관리, 사업 지원 및 임대 서비스업",2136,*,*,337,10,6,77,314,48,140,136,65,38,141,525,48,66,99,39,42,-
"비수도권","O.공공 행정, 국방 및 사회보장 행정",751,*,*,52,*,*,24,34,19,29,26,12,10,51,32,286,40,85,22,19,*
"비수도권","P.교육 서비스업",3385,*,-,179,6,*,54,185,32,129,90,57,15,217,88,155,1164,881,45,83,-
"비수도권","Q.보건업 및 사회복지 서비스업",7131,*,-,122,8,*,46,216,23,149,34,100,31,138,91,358,449,5238,32,92,-
"비수도권","R.예술, 스포츠 및 여가관련 서비스업",546,*,-,47,*,*,16,58,21,36,27,13,11,35,39,36,51,40,86,25,-
"비수도권","S.협회 및 단체, 수리 및 기타 개인 서비스업",727,*,-,54,-,*,16,62,9,41,15,17,8,58,35,27,59,118,14,190,-
"비수도권","U.국제 및 외국기관",*,-,-,*,-,-,-,*,-,-,-,-,-,-,-,-,-,-,*,-,-
