행정구역(시도),경제활동인구 (천명),- 연령별(15~29세),- 연령별(30~39세),- 연령별(40~49세),- 연령별(50~59세),- 연령별(60세이상),- 교육정도별(중졸이하),- 교육정도별(고졸),- 교육정도별(대졸이상)
강원도,1688,206,246,350,403,485,385,634,667
경기도,14752,2280,3140,3576,3424,2334,1512,5832,7408
경상남도,3634,442,630,838,885,839,657,1485,1493
경상북도,2936,337,424,597,706,872,692,1098,1146
광주광역시,1558,233,292,394,372,268,179,552,828
대구광역시,2550,396,454,570,654,478,328,881,1340
대전광역시,1618,288,306,376,370,280,170,572,876
부산광역시,3442,482,621,776,825,739,460,1297,1685
서울특별시,10652,2037,2360,2316,2262,1677,884,3404,6365
세종특별자치시,385,52,99,115,71,48,34,90,261
울산광역시,1143,129,228,294,306,186,132,478,533
인천광역시,3294,522,644,780,788,560,374,1532,1388
전라남도,2012,184,280,419,476,654,559,737,715
전라북도,1942,227,288,414,450,564,455,719,769
제주특별자치도,810,110,142,192,186,180,130,276,406
충청남도,2472,318,450,540,564,600,517,1002,954
충청북도,1837,275,318,400,432,414,342,760,734
