,시도,행정구역별,청년인구
0,부산광역시,중구,16566
1,부산광역시,서구,36296
2,부산광역시,동구,31168
3,부산광역시,영도구,32576
4,부산광역시,부산진구,150568
5,부산광역시,동래구,91984
6,부산광역시,남구,94602
7,부산광역시,북구,104796
8,부산광역시,해운대구,135584
9,부산광역시,사하구,109486
10,부산광역시,금정구,88086
11,부산광역시,강서구,47326
12,부산광역시,연제구,75164
13,부산광역시,수영구,71596
14,부산광역시,사상구,80116
15,부산광역시,기장군,54180
0,대구광역시,중구,31552
1,대구광역시,동구,114428
2,대구광역시,서구,3502
0,대전광역시,동구,42326
1,대전광역시,중구,42585
2,대전광역시,서구,105278
3,대전광역시,유성구,79211
4,대전광역시,대덕구,33835
0,광주광역시,동구,29273
1,광주광역시,서구,86097
2,광주광역시,남구,56078
3,광주광역시,북구,123384
4,광주광역시,광산구,119256
0,인천광역시,중구,41434
1,인천광역시,동구,14139
2,인천광역시,미추홀구,121721
3,인천광역시,연수구,119367
4,인천광역시,남동구,152202
5,인천광역시,부평구,145304
6,인천광역시,계양구,84136
7,인천광역시,서구,160243
8,인천광역시,강화군,10639
9,인천광역시,웅진군,4470
0,제주특별자치도,제주시,97779
1,제주특별자치도,서귀포시,30539
0,세종특별자치시,조치원읍,8979
1,세종특별자치시,연기면,565
2,세종특별자치시,연동면,439
3,세종특별자치시,부강면,1091
4,세종특별자치시,금남면,1340
5,세종특별자치시,장군면,1483
6,세종특별자치시,연서면,1251
7,세종특별자치시,전의면,804
8,세종특별자치시,전동면,411
9,세종특별자치시,소정면,366
0,서울특별시,종로구,22903
1,서울특별시,중구,18515
2,서울특별시,용산구,32853
3,서울특별시,성동구,47027
4,서울특별시,광진구,58727
5,서울특별시,동대문구,52845
6,서울특별시,중랑구,49325
7,서울특별시,성북구,60739
8,서울특별시,강북구,36555
9,서울특별시,도봉구,35991
10,서울특별시,노원구,63179
11,서울특별시,은평구,60686
12,서울특별시,서대문구,48849
13,서울특별시,마포구,62599
14,서울특별시,양천구,53467
15,서울특별시,강서구,91363
16,서울특별시,구로구,55070
17,서울특별시,금천구,33257
18,서울특별시,영등포구,56782
19,서울특별시,동작구,64986
20,서울특별시,관악구,101922
21,서울특별시,서초구,58604
22,서울특별시,강남구,76527
23,서울특별시,송파구,94582
24,서울특별시,강동구,49116
0,울산광역시,중구,48813
1,울산광역시,남구,81943
2,울산광역시,동구,34554
3,울산광역시,북구,53614
4,울산광역시,울주군,49486
