지역,건강 증진을 위해,휴양 및 휴식을 취하기 위해,취미 및 레포츠 활동을 위해,친목 활동을 위해 ,질병 치유를 위해,교육 학습을 위해,기타
강원,35.3,60.8,2.1,0.8,-,-,1.0
경기,70.5,21.8,3.1,4.0,0.1,0.5,-
경남,78.2,12.9,7.7,0.9,0.3,-,-
경북,83.0,9.1,1.4,0.8,5.1,0.6,-
광주,68.3,27.2,-,3.6,-,0.8,-
대구,88.3,8.1,-,1.7,-,1.9,-
대전,44.9,48.5,5.3,1.3,-,-,-
부산,61.9,33.8,3.7,0.3,0.3,-,-
서울,72.6,22.5,1.6,2.7,0.4,0.2,-
세종,49.3,45.5,4.2,-,-,1.0,-
울산,87.3,8.9,3.8,-,-,-,-
인천,67.6,18.6,4.9,6.7,-,-,2.2
전남,64.3,30.9,2.0,2.8,-,-,-
전북,80.6,16.5,0.4,1.0,0.7,0.7,-
제주,57.6,39.0,1.4,1.3,-,-,0.7
충남,56.4,30.1,5.1,4.6,2.6,0.6,0.6
충북,53.8,35.6,6.2,2.5,1.2,-,0.7
