시도명,청년인구,버스터미널,철도역,공항,초등학교,중학교,고등학교,지수(점),등급,순위,일산화탄소(CO),질산화물(NOx),황산화물(SOx),총먼지(TSP),미세먼지(PM10),미세먼지(PM2.5),Black Carbon(BC),휘발성유기화합물(VOC) ,암모니아(NH₃),마을축제 건 수,전통문화축제,관광축제,산업축제,특수목적축제,문화기반시설 수,공연사업 수,공연 횟수,생활문화시설 수,생활문화센터,평생 학습관,문화의집,생활영상시설,작은도서관,경제활동인구 (천명),- 연령별(15~29세),- 연령별(30~39세),- 연령별(40~49세),- 연령별(50~59세),- 연령별(60세이상),#NAME?,#NAME?,#NAME?,공공의료시설,병·의원,종합병원,공공 체육시설,민간 체육시설,기타 체육시설,학교체육시설,자가시설,직장체육시설,전월세전환율(%),취업률(%),대규모점포,전통시장,평균 휴양 만족 점수,건강 증진을 위해,휴양 및 휴식을 취하기 위해,취미 및 레포츠 활동을 위해,친목 활동을 위해 ,질병 치유를 위해,교육 학습을 위해,기타
강원,56404,32.9,32.9,32.9,36.9,56,71.4,79.11721924,E,16,59091323,88318614,1095384,31068615,15129997,3973381,1498115,72392596,3469369,81,18,50,8,5,235,148,782,158,3,8,5,4,138,1688,206,246,350,403,485,385,634,667,92.6,75.9,170.8,34.8,28,10.9,4.1,21.7,0.5,6.2,53.5,195.2,119.8,7.55,35.3,60.8,2.1,0.8,-,-,1
경기,579851,25,25,25,19.2,28.5,36.5,81.26209236,C,10,26661660,49950866,7897187,17031459,6885594,2644114,525045,42340472,1619633,97,40,49,1,7,569,536,4017,534,8,5,3,4,514,14752,2280,3140,3576,3424,2334,1512,5832,7408,57.2,21.4,78.6,38.5,39.6,19.5,1.1,1.4,0,4.5,62.8,58.4,69.1,7.74,70.5,21.8,3.1,4,0.1,0.5,-
경남,128482,31.1,31.1,31.1,28.5,43.1,54,81.91219351,C,8,17213386,26369636,2595203,10707805,3911124,1293610,338163,31875289,1668164,106,35,57,5,9,228,303,1016,255,0,5,9,3,238,3634,442,630,838,885,839,657,1485,1493,69.2,57,152.6,45.8,31,12,6.7,4.6,0,5.2,57.4,132.8,99.5,7.28,78.2,12.9,7.7,0.9,0.3,-,-
경북,100105,37.7,37.7,37.7,37.1,56.6,73.5,80.05727401,D,12,42473267,54996410,12165228,22496356,7601495,2701129,607477,55060920,7166199,59,30,17,10,2,220,208,868,149,1,5,4,1,138,2936,337,424,597,706,872,692,1098,1146,84.1,93.5,193,29.9,20.4,34.4,7.8,6.9,0.6,6.7,57.2,182.3,132.4,8.29,83,9.1,1.4,0.8,5.1,0.6,-
광주,66496,21.5,21.5,21.5,15.6,21.9,32.5,83.96833674,A,2,7955525,12270179,172932,5225274,1710002,546285,153216,15721745,967862,16,14,1,0,1,74,38,305,415,4,8,4,2,397,1558,233,292,394,372,268,179,552,828,57.2,14.3,38.2,37.1,29.2,26.2,5.4,2,0,5.6,60.2,45.4,45.7,7.78,68.3,27.2,-,3.6,-,0.8,-
대구,104823,18.3,18.3,18.3,16.5,23.3,32.6,81.21959844,C,11,10659806,16050799,492180,5270663,1908298,653448,219448,16758270,764088,17,5,10,0,2,92,51,315,133,4,6,0,1,122,2550,396,454,570,654,478,328,881,1340,53.2,14.1,55.7,32.8,29.9,22.7,10,2.6,2,5,82.8,41.5,29.2,7.85,88.3,8.1,-,1.7,-,1.9,-
대전,64361,19.9,19.9,19.9,15.4,21.9,31.4,83.391163,B,3,31399616,48718539,42794244,8932378,4079779,2274013,298484,91961349,15129468,7,4,3,0,0,62,67,176,240,2,5,3,1,229,1618,288,306,376,370,280,170,572,876,51.6,13.2,53.2,29.9,34.3,17.4,14,4.5,0,5.1,61,44.8,46.5,7.8,44.9,48.5,5.3,1.3,-,-,-
부산,146114,31.5,31.5,31.5,16,23.9,32.6,81.98761655,C,7,4956050,5260258,79732,2500427,1024217,345444,122819,5961807,2759517,40,17,19,0,4,131,157,834,89,7,2,0,0,80,3442,482,621,776,825,739,460,1297,1685,47.3,12.8,51.9,39.9,30,22.6,5.1,0.8,1.7,4.9,48.8,39.5,29,7.45,61.9,33.8,3.7,0.3,0.3,-,-
서울,489384,25.8,25.8,25.8,12.1,15.9,20.8,81.29226452,C,9,136960058,178980916,8859353,84050233,31342317,10487681,3109508,190939659,47387368,108,63,27,1,17,429,234,2575,133,0,4,0,3,126,10652,2037,2360,2316,2262,1677,884,3404,6365,36.7,7.8,33.5,44.5,36.8,13.6,3.1,1.6,0.4,4.4,80.1,27.4,21.2,8.08,72.6,22.5,1.6,2.7,0.4,0.2,-
세종,9617,17.5,17.5,17.5,17.4,25.1,34.5,84.95189013,A,1,50995652,79834417,13802481,36165196,9771796,4109457,748947,30262580,14848233,6,2,3,1,0,23,13,22,59,1,1,0,0,57,385,52,99,115,71,48,34,90,261,51.4,26.8,84.4,21.5,47,20.4,6.5,4.6,0,6,52.4,64.4,78.5,7.47,49.3,45.5,4.2,-,-,1,-
