지역,청년인구,버스터미널,철도역,공항,초등학교,중학교,고등학교,지수(점),순위,총먼지(TSP),마을축제 건 수,전통문화축제,관광축제,산업축제,특수목적축제,문화기반시설 수,공연사업 수,공연 횟수,생활문화시설 수,생활문화센터,평생 학습관,문화의집,생활영상시설,작은도서관,경제활동인구 (천명),- 연령별(15~29세),- 연령별(30~39세),- 연령별(40~49세),- 연령별(50~59세),- 연령별(60세이상),공공의료시설,병·의원,종합병원,공공 체육시설,민간 체육시설,기타 체육시설,학교체육시설,자가시설,직장체육시설,전월세전환율(%),취업률(%),대규모점포,전통시장,평균 휴양 만족 점수,건강 증진을 위해,휴양 및 휴식을 취하기 위해,취미 및 레포츠 활동을 위해,친목 활동을 위해 ,질병 치유를 위해,교육 학습을 위해,기타,지역별 강소기업 갯수,지역별 고령화 비율(%)
강원,1,6,6,6,7,8,9,2,10,3,8,3,9,8,3,4,3,2,3,4,10,3,10,2,1,1,1,1,1,2,10,7,8,4,5,1,2,10,3,6,2,8,6,3,1,10,3,2,1,1,5,1,9
경기,10,3,3,3,2,3,3,5,6,2,9,7,9,1,5,10,10,10,10,10,6,2,10,10,10,10,10,10,10,10,4,2,3,4,8,4,1,1,1,1,4,2,3,5,7,3,5,6,1,3,1,10,3
경남,3,5,5,5,5,6,6,6,5,1,10,6,10,5,6,4,6,3,5,1,6,5,8,4,3,2,2,3,3,4,6,5,7,6,6,1,3,3,1,3,2,5,5,1,9,1,10,2,1,1,1,3,6
경북,2,8,8,8,7,9,9,3,7,2,6,5,3,10,2,4,4,3,2,2,6,3,3,2,2,2,2,2,2,4,9,9,9,2,3,10,3,4,3,8,2,8,7,10,9,1,2,2,10,4,1,2,9
광주,1,2,2,2,1,2,2,9,1,1,1,2,1,1,1,1,1,1,8,5,10,3,5,8,1,1,1,1,1,1,4,1,1,4,5,7,2,1,1,4,3,1,2,5,7,4,1,6,1,5,1,1,4
대구,2,1,1,1,2,2,2,5,7,1,2,1,2,1,2,2,1,1,2,5,8,1,3,2,2,2,2,2,2,2,3,1,2,3,6,6,4,2,10,2,8,1,1,6,10,1,1,3,1,10,1,2,6
대전,1,1,1,1,1,2,2,8,2,1,1,1,1,1,1,1,2,1,4,3,6,2,3,4,1,2,1,1,1,2,3,1,2,2,7,3,6,3,1,3,3,1,2,6,2,8,7,2,1,1,1,1,4
부산,3,5,5,5,2,2,2,6,4,1,4,3,4,1,3,2,3,3,1,9,2,1,1,1,3,2,2,2,3,4,2,1,2,5,6,5,2,1,9,2,1,1,1,2,6,5,5,1,1,1,1,2,8
서울,9,3,3,3,1,1,1,5,5,8,10,10,5,1,10,8,5,7,2,1,5,1,8,2,8,9,8,7,7,8,1,1,1,6,8,2,1,1,2,1,8,1,1,8,8,3,3,5,1,2,1,6,5
세종,1,1,1,1,2,2,3,10,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,2,3,1,10,5,3,3,1,6,1,2,4,2,3,8,6,1,1,6,1,1,1
울산,1,3,3,3,2,4,4,7,4,3,1,2,2,1,1,1,1,2,3,3,6,3,5,3,1,1,1,1,1,1,5,2,2,10,1,4,1,1,1,3,5,2,2,2,10,1,5,1,1,1,1,1,3
인천,3,4,4,4,2,3,2,7,2,8,2,1,2,2,2,2,2,1,2,7,10,1,5,2,3,3,2,2,3,3,3,2,2,1,8,9,1,3,4,3,6,2,3,2,7,2,7,10,1,1,10,2,4
전남,2,10,10,10,10,10,10,3,9,4,6,2,8,7,4,4,3,2,3,2,2,1,5,3,2,1,1,1,2,3,10,10,10,3,5,9,1,2,1,10,5,10,10,1,6,5,3,5,1,1,1,1,10
전북,2,5,5,5,5,6,7,3,8,7,8,4,7,7,10,3,5,3,4,8,8,4,8,4,2,1,1,1,2,3,7,6,7,6,3,6,3,2,3,7,4,6,6,6,9,2,1,2,2,4,1,1,9
제주,1,5,5,5,5,6,7,7,3,10,2,2,2,1,1,3,2,1,4,3,3,10,3,3,1,1,1,1,1,1,6,4,5,4,1,5,10,2,1,3,10,5,4,7,5,6,2,2,1,1,4,1,5
충남,2,7,7,7,7,9,10,1,10,5,4,2,5,4,2,3,2,3,4,4,9,2,3,4,2,2,2,2,2,3,8,7,9,3,6,3,5,3,1,8,2,7,7,4,4,5,7,7,6,4,3,2,7
충북,1,6,6,6,6,7,8,2,9,1,3,1,3,10,3,3,2,1,3,3,6,2,5,3,2,2,1,1,2,2,8,6,7,5,4,3,5,4,3,8,5,6,5,2,4,6,9,4,3,1,4,1,7
