연번,부처명,세부사업명,본예산(백만원)
1,고용노동부,고용안정장려금,"154,979 "
2,고용노동부,고용유지지원금,"1,372,832 "
3,고용노동부,고용창출장려금,"186,481 "
4,고용노동부,고용장려금융자,"9,167 "
5,고용노동부,일터혁신지원,"22,054 "
6,고용노동부,사회적기업진흥원운영지원,"59,924 "
7,고용노동부,유해작업환경개선,"61,592 "
8,고용노동부,안전인증및안전검사,"6,763 "
9,고용노동부,업종별재해예방,"69,571 "
10,고용노동부,클린사업장조성지원,"427,292 "
11,고용노동부,산재예방시설융자,"322,758 "
12,고용노동부,사업주직업훈련지원금,"276,304 "
13,고용노동부,일자리안정자금지원,"1,296,564 "
14,고용노동부,지역고용촉진지원금,"4,746 "
15,고용노동부,중견·중소기업현장훈련지원,"11,523 "
16,고용노동부,청년내일채움공제(고보),"493,592 "
17,고용노동부,근로자복지지원,"1,646 "
18,과학기술정보통신부,SW산업해외진출역량강화,"3,301 "
19,과학기술정보통신부,정보통신방송해외진출지원,"2,390 "
20,과학기술정보통신부,해외IT지원센터운영,"5,618 "
21,과학기술정보통신부,스마트미디어기술개발사업화(R&BD)지원,"1,852 "
22,과학기술정보통신부,스마트미디어산업육성기반구축(정보화),"3,226 "
23,과학기술정보통신부,VR·AR콘텐츠산업육성,"70,360 "
24,과학기술정보통신부,디지털콘텐츠기업경쟁력강화,"25,731 "
25,과학기술정보통신부,DB산업육성(정보화),"3,350 "
26,과학기술정보통신부,차세대인터넷비즈니스경쟁력강화,"122,970 "
27,과학기술정보통신부,정보통신기반보호강화,"22,855 "
28,과학기술정보통신부,SW산업기반확충,"77,523 "
29,과학기술정보통신부,ICT융합제조운영체제개발및실증(R&D),"3,557 "
30,과학기술정보통신부,지역SW산업진흥지원(정보화/제주),725 
31,과학기술정보통신부,지역SW산업진흥지원(정보화/세종),784 
32,과학기술정보통신부,지역SW산업진흥지원(정보화/지역지원포함),"11,002 "
33,과학기술정보통신부,글로벌SW전문기업육성,"7,635 "
34,과학기술정보통신부,공공연구성과기반BIG선도모델,"4,660 "
35,과학기술정보통신부,우주핵심기술개발(R&D),"1,440 "
36,과학기술정보통신부,인공지능중심산업융합집적단지조성,"9,615 "
37,과학기술정보통신부,지능정보산업인프라조성,"389,905 "
38,과학기술정보통신부,클라우드컴퓨팅산업육성,"58,863 "
39,과학기술정보통신부,방송장비산업인프라구축,"1,719 "
40,과학기술정보통신부,전파기반신산업창출및중소기업육성,"3,069 "
41,과학기술정보통신부,전파미래앞장감양성,800 
42,과학기술정보통신부,ICT창의기업육성,"14,757 "
43,과학기술정보통신부,민관협력기반ICT스타트업육성(R&D),"5,100 "
44,과학기술정보통신부,정보통신응용기술개발지원(융자),"25,589 "
45,과학기술정보통신부,정보통신시험인증허브기반구축,194 
46,과학기술정보통신부,ICT미래시장최적화협업기술개발(R&D),"2,400 "
47,과학기술정보통신부,ICT기반개방형혁신제품서비스개발(R&D),"2,920 "
48,관세청,수출입화물검사지원,"9,128 "
49,국토부,물류산업지원,"2,954 "
50,국토부,국토교통기술사업화지원(R&D),"39,685 "
51,국토부,국토교통혁신펀드,"20,000 "
52,국토부,자동차대체부품활성화사업,"4,500 "
53,금융위원회,경영지도,"12,020 "
54,금융위원회,보증연계투자,"60,000 "
55,금융위원회,코넥스시장활성화지원,"1,235 "
56,금융위원회,팩토링금융,"39,750 "
57,기상청,연직바람관측장비융합기술개발(R&D),"1,494 "
58,기상청,기상산업활성화,"11,678 "
59,기상청,미래유망민간기상서비스성장기술개발(R&D),"2,624 "
60,농림축산식품부,가축질병대응기술개발(R&D),"17,497 "
61,농림축산식품부,농생명산업기술개발(R&D),"3,985 "
62,농림축산식품부,농식품기술융합창의인재양성(R&D),"13,363 "
63,농림축산식품부,유용농생명자원산업화기술개발(R&D),"8,663 "
64,농림축산식품부,첨단생산기술개발(R&D),"9,972 "
65,농림축산식품부,농기자재수출활성화,"2,233 "
66,농림축산식품부,농식품벤처창업활성화지원,"16,694 "
67,농림축산식품부,스마트팜ICT기자재국가표준확산지원,"4,100 "
68,농림축산식품부,농식품모태펀드출자,"40,000 "
69,농림축산식품부,농식품글로벌경쟁력강화,"80,903 "
70,농림축산식품부,농식품글로벌육성지원자금(융자),"372,882 "
71,농림축산식품부,수출인프라강화,"47,506 "
72,농림축산식품부,고부가가치식품기술개발(R&D),"20,826 "
73,농림축산식품부,기능성식품산업육성,"6,051 "
74,농림축산식품부,맞춤형혁신식품및천연안심소재기술개발(R&D),"10,506 "
75,농림축산식품부,식품외식종합자금,"179,800 "
76,농림축산식품부,전통발효식품육성,"14,383 "
77,농림축산식품부,도매유통활성화지원(융자),"80,000 "
