연번,소관명,세부사업명,본예산(백만원) 
1,강원도,FTA활용지원센터운영지원(국가직접지원),33 
2,강원도,창조경제혁신센터운영지원(국가직접지원),"2,355 "
3,강원도,소상공인창업및경영안정융자금이차보전추진,609 
4,강원도,안정적인물가관리,257 
5,강원도,유통업활성화추진,170 
6,강원도,재해소상공인이차보전추진,660 
7,강원도,전통시장시설현대화지원(전환),365 
8,강원도,전통시장안전관리지원,650 
9,강원도,특성화시장육성지원,"1,035 "
10,강원도,화재알림시설설치(국고),38 
11,강원도,관광사업체활성화지원,166 
12,강원도,강원경제선도중소기업발굴육성지원,234 
13,강원도,공예산업육성및브랜드화,91 
14,강원도,마케팅역량강화및제품경쟁력제고,524 
15,강원도,중소기업간네트워크구축및혁신활동지원,40 
16,강원도,중소기업경영활성화시책추진,"10,401 "
17,강원도,중소기업육성자금이차보전,"10,494 "
18,강원도,창업보육센터특성화육성,606 
19,강원도,특수목적지원자금운영,"32,000 "
20,강원도,축산물작업장위생설비개선지원,162 
21,강원도,강원바이오스타기업육성,150 
22,강원도,강원의료기기전시회개최지원,123 
23,강원도,마을기업육성,134 
24,강원도,마을기업육성(국고),455 
25,강원도,사회적경제육성기반구축,457 
26,강원도,사회적경제조직활성화추진,905 
27,강원도,사회적기업육성,113 
28,강원도,사회적기업육성(사업개발비-지역특화)(국고),360 
29,강원도,수산업가공산업육성(전환),47 
30,강원도,수산산업창업·투자지원사업,"1,500 "
31,강원도,식품위생업소시설개선융자사업,200 
32,강원도,유통식품및위생업소관리,"1,198 "
33,강원도,농식품산업기반구축,320 
34,강원도,강원도사회보험료지원,"16,448 "
35,강원도,생계형1인자영업자사회보험료지원,"2,480 "
36,강원도,취업촉진사업추진,"21,448 "
37,강원도,폐광지역이전기업등지원,"4,595 "
38,강원도,뿌리기술경쟁력강화지원,90 
39,강원도,스마트공장보급확산,703 
40,강원도,전략기반성장동력산업집중육성,"1,247 "
41,강원도,지역중소기업빅데이터활용지원사업,200 
42,강원도,스마트특성화기반구축(국가직접지원),600 
43,강원도,강원ICT신기술기업지원,110 
44,강원도,전자상거래활성화추진,"1,404 "
45,강원도,수출사업컨설팅지원,350 
46,강원도,해외규격인증획득지원,400 
47,강원도,지역산업마케팅지원(전환),"1,800 "
48,강원도,정규직일자리보조금지원사업,"1,000 "
49,강원도,청년일자리창업투자생태계조성사업(국고),"1,204 "
50,강원도,강원스타트업창업지원,"1,745 "
51,강원도,타시도이전기업보조금지원,"3,001 "
52,강원도,문화관광시장육성(국가직접지원),158 
53,강원도,청년몰조성사업(국가직접지원),234 
54,강원도,지역강소기업경쟁력강화사업,250 
55,강원도,마을기업컨설팅등지원(국고),520 
56,강원도,사회적경제혁신성장사업(국가직접지원),324 
57,강원도,전략기반성장동력산업집중육성(국가직접지원),"5,574 "
58,강원도,강원바이오유망기업육성,160 
59,강원도,강원소규모의료기기기업엑셀러레이팅지원,300 
60,강원도,공공구매활성화추진,239 
61,강원도,공예품대전운영,18 
62,강원도,품질경영활성화지원,29 
63,강원도,농수산식품수출경쟁력강화,"2,095 "
64,강원도,사회적기업육성(일자리창출)(국고),"5,398 "
65,강원도,사회적기업육성(사회보험료)(국고),358 
66,강원도,강원도정규직일자리취직지원,"49,700 "
67,경기도,동반성장사업추진(자체/직접),952 
68,경기도,경기도바이오기업R&DB종합지원(자체/직접),"1,475 "
