"행정구역(시도)","성별",2017.1/2,2017.1/2,2017.1/2,2017.1/2,2017.1/2,2017.1/2,2017.1/2,2017.1/2,2017.2/2,2017.2/2,2017.2/2,2017.2/2,2017.2/2,2017.2/2,2017.2/2,2017.2/2,2018.1/2,2018.1/2,2018.1/2,2018.1/2,2018.1/2,2018.1/2,2018.1/2,2018.1/2,2018.2/2,2018.2/2,2018.2/2,2018.2/2,2018.2/2,2018.2/2,2018.2/2,2018.2/2,2019.1/2,2019.1/2,2019.1/2,2019.1/2,2019.1/2,2019.1/2,2019.1/2,2019.1/2,2019.2/2,2019.2/2,2019.2/2,2019.2/2,2019.2/2,2019.2/2,2019.2/2,2019.2/2,2020.1/2,2020.1/2,2020.1/2,2020.1/2,2020.1/2,2020.1/2,2020.1/2,2020.1/2,2020.2/2,2020.2/2,2020.2/2,2020.2/2,2020.2/2,2020.2/2,2020.2/2,2020.2/2,2021.1/2,2021.1/2,2021.1/2,2021.1/2,2021.1/2,2021.1/2,2021.1/2,2021.1/2
"행정구역(시도)","성별",15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (％),고용률 (%),실업률 (％),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (％),고용률 (%),실업률 (％),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (％),고용률 (%),실업률 (％),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (％),고용률 (%),실업률 (％),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (％),고용률 (%),실업률 (％),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (％),고용률 (%),실업률 (％),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (％),고용률 (%),실업률 (％),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (％),고용률 (%),실업률 (％),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (％),고용률 (%),실업률 (％)
"계","계",43871,27912,26744,1167,15960,63.6,61.0,4.2,44015,27920,27026,894,16095,63.4,61.4,3.2,44122,28029,26868,1161,16093,63.5,60.9,4.1,44262,28063,27090,973,16199,63.4,61.2,3.5,44444,28284,27038,1245,16160,63.6,60.8,4.4,44601,28373,27509,864,16228,63.6,61.7,3.0,44725,27734,26562,1172,16991,62.0,59.4,4.2,44853,28117,27088,1028,16736,62.7,60.4,3.7,45027,28361,27214,1147,16667,63.0,60.4,4.0
"계","남자",21543,16068,15378,691,5475,74.6,71.4,4.3,21616,16015,15469,546,5602,74.1,71.6,3.4,21664,16073,15391,682,5591,74.2,71.0,4.2,21743,16037,15462,575,5706,73.8,71.1,3.6,21855,16167,15420,747,5688,74.0,70.6,4.6,21943,16125,15606,520,5818,73.5,71.1,3.2,22000,15912,15237,675,6089,72.3,69.3,4.2,22067,16060,15456,605,6007,72.8,70.0,3.8,22175,16167,15514,653,6008,72.9,70.0,4.0
"계","여자",22328,11843,11366,477,10485,53.0,50.9,4.0,22398,11905,11558,347,10493,53.2,51.6,2.9,22458,11956,11477,479,10503,53.2,51.1,4.0,22519,12026,11628,398,10493,53.4,51.6,3.3,22589,12117,11619,498,10472,53.6,51.4,4.1,22658,12248,11903,345,10410,54.1,52.5,2.8,22724,11822,11325,497,10902,52.0,49.8,4.2,22785,12056,11633,423,10729,52.9,51.1,3.5,22853,12194,11699,494,10659,53.4,51.2,4.1
"서울특별시","계",8562,5405,5132,272,3158,63.1,59.9,5.0,8549,5385,5161,224,3163,63.0,60.4,4.2,8533,5363,5098,266,3169,62.9,59.7,5.0,8504,5277,5055,222,3227,62.1,59.4,4.2,8481,5329,5052,277,3152,62.8,59.6,5.2,8475,5335,5143,192,3141,62.9,60.7,3.6,8506,5267,4986,281,3239,61.9,58.6,5.3,8529,5290,5048,242,3239,62.0,59.2,4.6,8538,5326,5057,268,3212,62.4,59.2,5.0
"서울특별시","남자",4102,3006,2855,151,1096,73.3,69.6,5.0,4091,2969,2847,122,1122,72.6,69.6,4.1,4078,2952,2806,145,1127,72.4,68.8,4.9,4061,2874,2760,114,1187,70.8,68.0,4.0,4047,2921,2761,160,1126,72.2,68.2,5.5,4040,2886,2775,110,1154,71.4,68.7,3.8,4050,2863,2721,142,1187,70.7,67.2,5.0,4057,2871,2743,127,1186,70.8,67.6,4.4,4060,2881,2743,138,1179,71.0,67.6,4.8
"서울특별시","여자",4461,2399,2277,122,2062,53.8,51.0,5.1,4458,2416,2314,102,2041,54.2,51.9,4.2,4454,2412,2291,120,2043,54.1,51.4,5.0,4443,2403,2295,108,2040,54.1,51.6,4.5,4434,2408,2291,117,2026,54.3,51.7,4.9,4435,2449,2367,82,1986,55.2,53.4,3.3,4456,2404,2265,139,2052,53.9,50.8,5.8,4472,2419,2305,114,2053,54.1,51.5,4.7,4478,2445,2314,131,2033,54.6,51.7,5.4
"부산광역시","계",2995,1777,1688,89,1217,59.4,56.4,5.0,2988,1748,1683,66,1240,58.5,56.3,3.8,2979,1729,1653,76,1250,58.0,55.5,4.4,2970,1736,1677,59,1234,58.4,56.5,3.4,2963,1742,1661,81,1221,58.8,56.1,4.6,2956,1755,1703,52,1201,59.4,57.6,2.9,2950,1685,1601,84,1265,57.1,54.3,5.0,2945,1710,1651,59,1235,58.1,56.1,3.5,2950,1721,1658,64,1229,58.3,56.2,3.7
"부산광역시","남자",1443,1005,954,51,438,69.7,66.1,5.1,1439,1004,971,33,435,69.8,67.5,3.3,1433,984,944,40,449,68.7,65.9,4.1,1429,980,939,41,449,68.6,65.7,4.2,1426,976,927,49,450,68.5,65.0,5.0,1422,964,936,28,458,67.8,65.8,2.9,1416,930,880,50,486,65.7,62.1,5.4,1413,953,916,37,459,67.5,64.8,3.9,1415,954,921,33,461,67.5,65.1,3.5
"부산광역시","여자",1552,772,735,37,780,49.8,47.4,4.8,1549,745,712,33,805,48.1,45.9,4.4,1546,745,710,35,801,48.2,45.9,4.8,1541,756,738,18,785,49.1,47.9,2.4,1537,766,734,32,772,49.8,47.7,4.1,1534,791,767,24,744,51.5,50.0,3.0,1533,755,721,34,779,49.2,47.0,4.5,1532,757,735,22,775,49.4,48.0,2.9,1535,767,736,31,768,50.0,48.0,4.0
"대구광역시","계",2107,1307,1249,58,800,62.0,59.3,4.4,2109,1274,1224,50,835,60.4,58.0,3.9,2107,1295,1225,70,812,61.5,58.1,5.4,2105,1294,1244,50,812,61.5,59.1,3.8,2106,1279,1220,59,827,60.7,57.9,4.6,2103,1261,1223,38,842,60.0,58.1,3.0,2093,1179,1131,49,914,56.3,54.0,4.1,2086,1253,1204,49,833,60.0,57.7,3.9,2091,1275,1217,58,816,61.0,58.2,4.6
"대구광역시","남자",1022,732,696,35,290,71.6,68.1,4.8,1022,711,680,30,312,69.5,66.6,4.2,1021,717,672,45,304,70.2,65.8,6.3,1020,720,686,34,300,70.6,67.3,4.7,1021,725,689,35,296,71.0,67.5,4.9,1019,720,696,24,299,70.6,68.3,3.3,1013,688,656,32,325,67.9,64.7,4.6,1008,715,687,29,293,70.9,68.1,4.0,1011,724,691,33,287,71.6,68.3,4.6
"대구광역시","여자",1085,575,552,23,510,53.0,50.9,3.9,1086,563,543,20,523,51.8,50.0,3.5,1086,578,553,25,508,53.3,51.0,4.3,1085,574,558,16,512,52.9,51.4,2.8,1085,554,530,24,531,51.1,48.9,4.3,1084,541,527,15,543,49.9,48.6,2.7,1080,492,475,17,589,45.5,44.0,3.4,1078,538,517,20,540,49.9,48.0,3.8,1080,551,526,25,528,51.1,48.7,4.6
"인천광역시","계",2481,1607,1523,85,873,64.8,61.4,5.3,2492,1622,1560,62,870,65.1,62.6,3.8,2498,1642,1562,80,856,65.7,62.5,4.9,2509,1643,1581,62,866,65.5,63.0,3.8,2524,1665,1583,82,860,65.9,62.7,4.9,2535,1648,1584,63,888,65.0,62.5,3.8,2541,1626,1546,80,915,64.0,60.8,4.9,2546,1633,1561,72,914,64.1,61.3,4.4,2548,1647,1562,85,901,64.6,61.3,5.2
"인천광역시","남자",1224,942,889,53,282,76.9,72.6,5.6,1230,933,890,43,296,75.9,72.4,4.7,1233,942,899,43,291,76.4,72.9,4.5,1239,940,907,33,299,75.9,73.2,3.6,1247,949,904,45,298,76.1,72.4,4.8,1254,939,901,38,315,74.9,71.9,4.0,1256,935,891,43,322,74.4,70.9,4.6,1259,928,885,43,330,73.8,70.3,4.6,1260,943,891,52,317,74.9,70.8,5.5
"인천광역시","여자",1256,666,634,32,591,53.0,50.4,4.8,1262,688,670,18,573,54.6,53.1,2.6,1266,701,663,38,565,55.4,52.4,5.4,1271,703,674,29,567,55.3,53.1,4.1,1277,716,680,36,561,56.0,53.2,5.1,1282,709,683,26,573,55.3,53.3,3.7,1285,692,655,37,593,53.8,51.0,5.3,1288,704,675,29,584,54.7,52.4,4.1,1288,704,670,33,584,54.6,52.0,4.7
"광주광역시","계",1260,769,741,28,491,61.0,58.8,3.7,1260,767,748,20,493,60.9,59.3,2.6,1261,791,755,36,469,62.8,59.9,4.6,1262,778,753,25,484,61.6,59.7,3.2,1264,779,745,35,485,61.7,58.9,4.5,1266,783,762,21,483,61.8,60.2,2.7,1272,769,737,32,504,60.4,57.9,4.2,1277,780,749,31,497,61.1,58.6,4.0,1280,779,751,28,501,60.9,58.6,3.6
"광주광역시","남자",612,433,417,17,179,70.8,68.1,3.8,612,429,415,14,183,70.0,67.8,3.2,612,443,419,24,169,72.3,68.5,5.3,614,436,422,14,177,71.1,68.8,3.3,615,441,419,22,174,71.7,68.1,5.0,617,438,426,13,179,71.0,69.0,2.8,620,431,411,20,189,69.5,66.3,4.5,622,431,413,18,191,69.2,66.4,4.1,624,437,422,15,187,70.0,67.6,3.4
"광주광역시","여자",648,336,324,12,312,51.8,50.0,3.5,648,339,333,6,310,52.2,51.3,1.7,648,348,336,13,300,53.7,51.8,3.7,648,342,331,10,307,52.7,51.1,3.0,649,338,326,13,310,52.2,50.2,3.7,649,345,336,9,305,53.1,51.8,2.5,652,338,325,13,315,51.8,49.9,3.7,654,349,336,14,305,53.3,51.3,3.9,656,342,328,14,314,52.1,50.1,4.0
"대전광역시","계",1296,794,766,29,502,61.3,59.1,3.6,1296,790,763,26,506,60.9,58.9,3.3,1293,797,760,37,496,61.6,58.8,4.6,1291,794,762,32,497,61.5,59.0,4.0,1291,796,755,42,495,61.7,58.4,5.2,1291,814,788,26,477,63.1,61.0,3.2,1287,809,768,41,478,62.9,59.7,5.1,1285,812,790,22,473,63.2,61.5,2.7,1288,809,775,34,479,62.8,60.2,4.2
